OID,Year,LocationInfo,Longitude,Latitude,ShootingAngle
628675,2022,121234,113.3793662,23.13427276,90
628676,2022,121428,113.386832,23.13283062,0
628677,2022,121428,113.386832,23.13283062,180
628678,2022,121428,113.386832,23.13283062,270
628679,2022,121428,113.386832,23.13283062,90
628680,2022,121436,113.3915903,23.13081833,0
628681,2022,121436,113.3915903,23.13081833,180
628682,2022,121436,113.3915903,23.13081833,270
628683,2022,121436,113.3915903,23.13081833,90
628684,2022,121541,113.224455,23.13185181,0
628685,2022,121541,113.224455,23.13185181,180
628686,2022,121541,113.224455,23.13185181,270
628687,2022,121541,113.224455,23.13185181,90
628688,2022,121616,113.3324978,23.13063366,0
628689,2022,121616,113.3324978,23.13063366,180
628690,2022,121616,113.3324978,23.13063366,270
628691,2022,121616,113.3324978,23.13063366,90
628692,2022,121619,113.3386355,23.13249177,0
628693,2022,121619,113.3386355,23.13249177,180
628694,2022,121619,113.3386355,23.13249177,270
628695,2022,121619,113.3386355,23.13249177,90
628696,2022,121641,113.3728367,23.13259804,0
628697,2022,121641,113.3728367,23.13259804,180
628698,2022,121641,113.3728367,23.13259804,270
628699,2022,121641,113.3728367,23.13259804,90
628700,2022,121643,113.3746146,23.13235951,0
628701,2022,121643,113.3746146,23.13235951,180
628702,2022,121643,113.3746146,23.13235951,270
628703,2022,121643,113.3746146,23.13235951,90
628704,2022,121758,113.2275934,23.13108095,0
628705,2022,121758,113.2275934,23.13108095,180
628706,2022,121758,113.2275934,23.13108095,270
628707,2022,121758,113.2275934,23.13108095,90
628708,2022,121759,113.226725,23.13087735,0
628709,2022,121759,113.226725,23.13087735,180
628710,2022,121759,113.226725,23.13087735,270
628711,2022,121759,113.226725,23.13087735,90
628712,2022,121772,113.2383899,23.13083584,0
628713,2022,121772,113.2383899,23.13083584,180
628714,2022,121772,113.2383899,23.13083584,270
628715,2022,121772,113.2383899,23.13083584,90
628716,2022,121815,113.3069862,23.1311814,0
628717,2022,121815,113.3069862,23.1311814,180
628718,2022,121815,113.3069862,23.1311814,270
628719,2022,121815,113.3069862,23.1311814,90
628720,2022,121830,113.3236553,23.13177897,0
628721,2022,121830,113.3236553,23.13177897,180
628722,2022,121830,113.3236553,23.13177897,270
628723,2022,121830,113.3236553,23.13177897,90
628724,2022,121832,113.325974,23.1314426,0
628725,2022,121832,113.325974,23.1314426,180
628726,2022,121832,113.325974,23.1314426,270
628727,2022,121832,113.325974,23.1314426,90
628728,2022,121834,113.3378769,23.13100279,0
628729,2022,121834,113.3378769,23.13100279,180
628730,2022,121834,113.3378769,23.13100279,270
628731,2022,121834,113.3378769,23.13100279,90
628732,2022,122015,113.2331419,23.12893712,0
628733,2022,122015,113.2331419,23.12893712,180
628734,2022,122015,113.2331419,23.12893712,270
628735,2022,122015,113.2331419,23.12893712,90
628736,2022,122022,113.2467943,23.13036669,0
628737,2022,122022,113.2467943,23.13036669,180
628738,2022,122022,113.2467943,23.13036669,270
628739,2022,122022,113.2467943,23.13036669,90
628740,2022,122049,113.304645,23.1304189,0
628741,2022,122049,113.304645,23.1304189,180
628742,2022,122049,113.304645,23.1304189,270
628743,2022,122049,113.304645,23.1304189,90
628744,2022,122096,113.3890503,23.13058498,0
628745,2022,122096,113.3890503,23.13058498,180
628746,2022,122096,113.3890503,23.13058498,270
628747,2022,122096,113.3890503,23.13058498,90
628748,2022,122221,113.2479748,23.12893012,0
628749,2022,122221,113.2479748,23.12893012,180
628750,2022,122221,113.2479748,23.12893012,270
628751,2022,122221,113.2479748,23.12893012,90
628752,2022,122326,113.423529,23.12945072,0
628753,2022,122326,113.423529,23.12945072,180
628754,2022,122326,113.423529,23.12945072,270
628755,2022,122326,113.423529,23.12945072,90
628756,2022,122327,113.424368,23.12915635,0
628757,2022,122327,113.424368,23.12915635,180
628758,2022,122327,113.424368,23.12915635,270
628759,2022,122327,113.424368,23.12915635,90
628760,2022,122329,113.4261592,23.12911951,0
628761,2022,122329,113.4261592,23.12911951,180
628762,2022,122329,113.4261592,23.12911951,270
628763,2022,122329,113.4261592,23.12911951,90
628764,2022,122463,113.2467757,23.12835674,0
628765,2022,122463,113.2467757,23.12835674,180
628766,2022,122463,113.2467757,23.12835674,270
628767,2022,122463,113.2467757,23.12835674,90
628768,2022,122464,113.2463589,23.1282656,0
628769,2022,122464,113.2463589,23.1282656,180
628770,2022,122464,113.2463589,23.1282656,270
628771,2022,122464,113.2463589,23.1282656,90
628772,2022,122506,113.3040464,23.12932723,0
628773,2022,122506,113.3040464,23.12932723,180
628774,2022,122506,113.3040464,23.12932723,270
628775,2022,122506,113.3040464,23.12932723,90
628776,2022,122550,113.372038,23.12725745,0
628777,2022,122550,113.372038,23.12725745,180
628778,2022,122550,113.372038,23.12725745,270
628779,2022,122550,113.372038,23.12725745,90
628780,2022,122551,113.3721717,23.12643588,0
628781,2022,122551,113.3721717,23.12643588,180
628782,2022,122551,113.3721717,23.12643588,270
628783,2022,122551,113.3721717,23.12643588,90
628784,2022,122554,113.3841958,23.12853837,0
628785,2022,122554,113.3841958,23.12853837,180
628786,2022,122554,113.3841958,23.12853837,270
628787,2022,122554,113.3841958,23.12853837,90
628788,2022,122603,113.4436706,23.12956755,0
628789,2022,122603,113.4436706,23.12956755,180
628790,2022,122603,113.4436706,23.12956755,270
628791,2022,122603,113.4436706,23.12956755,90
628792,2022,122734,113.2332577,23.1274076,0
628793,2022,122734,113.2332577,23.1274076,180
628794,2022,122734,113.2332577,23.1274076,270
628795,2022,122734,113.2332577,23.1274076,90
628796,2022,122746,113.2474527,23.12642829,0
628797,2022,122746,113.2474527,23.12642829,180
628798,2022,122746,113.2474527,23.12642829,270
628799,2022,122746,113.2474527,23.12642829,90
628800,2022,122747,113.2471923,23.12563312,0
628801,2022,122747,113.2471923,23.12563312,180
628802,2022,122747,113.2471923,23.12563312,270
628803,2022,122747,113.2471923,23.12563312,90
628804,2022,122786,113.3098069,23.12725802,0
628805,2022,122786,113.3098069,23.12725802,180
628806,2022,122786,113.3098069,23.12725802,270
628807,2022,122786,113.3098069,23.12725802,90
628808,2022,122823,113.3568027,23.12737275,0
628809,2022,122823,113.3568027,23.12737275,180
628810,2022,122823,113.3568027,23.12737275,270
628811,2022,122823,113.3568027,23.12737275,90
628812,2022,122839,113.3761486,23.12559815,0
628813,2022,122839,113.3761486,23.12559815,180
628814,2022,122839,113.3761486,23.12559815,270
628815,2022,122839,113.3761486,23.12559815,90
628816,2022,122852,113.4202811,23.12517021,0
628817,2022,122852,113.4202811,23.12517021,180
628818,2022,122852,113.4202811,23.12517021,270
628819,2022,122852,113.4202811,23.12517021,90
628820,2022,122853,113.4202646,23.12433965,0
628821,2022,122853,113.4202646,23.12433965,180
628822,2022,122853,113.4202646,23.12433965,270
628823,2022,122853,113.4202646,23.12433965,90
628824,2022,123032,113.3380448,23.12677922,0
628825,2022,123032,113.3380448,23.12677922,180
628826,2022,123032,113.3380448,23.12677922,270
628827,2022,123032,113.3380448,23.12677922,90
628828,2022,123047,113.3635247,23.12669189,0
628829,2022,123047,113.3635247,23.12669189,180
628830,2022,123047,113.3635247,23.12669189,270
628831,2022,123047,113.3635247,23.12669189,90
628832,2022,123217,113.2367867,23.12616229,0
628833,2022,123217,113.2367867,23.12616229,180
628834,2022,123217,113.2367867,23.12616229,270
628835,2022,123217,113.2367867,23.12616229,90
628836,2022,123218,113.2367282,23.12533441,0
628837,2022,123218,113.2367282,23.12533441,180
628838,2022,123218,113.2367282,23.12533441,270
628839,2022,123218,113.2367282,23.12533441,90
628840,2022,123275,113.30373,23.12555432,0
628841,2022,123275,113.30373,23.12555432,180
628842,2022,123275,113.30373,23.12555432,270
628843,2022,123275,113.30373,23.12555432,90
628844,2022,123302,113.3379902,23.12589166,0
628845,2022,123302,113.3379902,23.12589166,180
628846,2022,123302,113.3379902,23.12589166,270
628847,2022,123302,113.3379902,23.12589166,90
628848,2022,123338,113.3968479,23.12597995,0
628849,2022,123338,113.3968479,23.12597995,180
628850,2022,123338,113.3968479,23.12597995,270
628851,2022,123338,113.3968479,23.12597995,90
628852,2022,123478,113.2309481,23.12517187,0
628853,2022,123478,113.2309481,23.12517187,180
628854,2022,123478,113.2309481,23.12517187,270
628855,2022,123478,113.2309481,23.12517187,90
628856,2022,123482,113.2391613,23.12518062,0
628857,2022,123482,113.2391613,23.12518062,180
628858,2022,123482,113.2391613,23.12518062,270
628859,2022,123482,113.2391613,23.12518062,90
628860,2022,123532,113.2896037,23.12492069,0
628861,2022,123532,113.2896037,23.12492069,180
628862,2022,123532,113.2896037,23.12492069,270
628863,2022,123532,113.2896037,23.12492069,90
628864,2022,123565,113.3553311,23.1254131,0
628865,2022,123565,113.3553311,23.1254131,180
628866,2022,123565,113.3553311,23.1254131,270
628867,2022,123565,113.3553311,23.1254131,90
628868,2022,123695,113.2310811,23.12459242,0
628869,2022,123695,113.2310811,23.12459242,180
628870,2022,123695,113.2310811,23.12459242,270
628871,2022,123695,113.2310811,23.12459242,90
628872,2022,123727,113.2886958,23.12452853,0
628873,2022,123727,113.2886958,23.12452853,180
628874,2022,123727,113.2886958,23.12452853,270
628875,2022,123727,113.2886958,23.12452853,90
628876,2022,123735,113.3088988,23.12459526,0
628877,2022,123735,113.3088988,23.12459526,180
628878,2022,123735,113.3088988,23.12459526,270
628879,2022,123735,113.3088988,23.12459526,90
628880,2022,123768,113.3576586,23.12146759,0
628881,2022,123768,113.3576586,23.12146759,180
628882,2022,123768,113.3576586,23.12146759,270
628883,2022,123768,113.3576586,23.12146759,90
628884,2022,123776,113.367305,23.12440504,0
628885,2022,123776,113.367305,23.12440504,180
628886,2022,123776,113.367305,23.12440504,270
628887,2022,123776,113.367305,23.12440504,90
628888,2022,123781,113.3761766,23.12456798,0
628889,2022,123781,113.3761766,23.12456798,180
628890,2022,123781,113.3761766,23.12456798,270
628891,2022,123781,113.3761766,23.12456798,90
628892,2022,123921,113.2466463,23.12418273,0
628893,2022,123921,113.2466463,23.12418273,180
628894,2022,123921,113.2466463,23.12418273,270
628895,2022,123921,113.2466463,23.12418273,90
628896,2022,123965,113.3028087,23.12348926,0
628897,2022,123965,113.3028087,23.12348926,180
628898,2022,123965,113.3028087,23.12348926,270
628899,2022,123965,113.3028087,23.12348926,90
628900,2022,123968,113.3046475,23.12279114,0
628901,2022,123968,113.3046475,23.12279114,180
628902,2022,123968,113.3046475,23.12279114,270
628903,2022,123968,113.3046475,23.12279114,90
628904,2022,123972,113.3071312,23.12451803,0
628905,2022,123972,113.3071312,23.12451803,180
628906,2022,123972,113.3071312,23.12451803,270
628907,2022,123972,113.3071312,23.12451803,90
628908,2022,123974,113.3071816,23.12368791,0
628909,2022,123974,113.3071816,23.12368791,180
628910,2022,123974,113.3071816,23.12368791,270
